ax,vz,vy,az,time,ay,comp,vx
0.058,-0.521,1.092,1.008,43.35607099533081,-0.013,-73.86539042109183,-1.183
0.03,-0.521,1.897,1.012,43.356374979019165,0.002,-73.86539042109183,-0.833
0.026,-0.451,1.442,1.012,43.356680154800415,-0.024,-73.86539042109183,-0.693
0.04,-1.011,0.567,1.007,43.35695242881775,0.003,-73.86539042109183,1.232
0.042,0.319,0.077,1.002,43.9317831993103,-0.011,-73.86539042109183,-0.273
0.046,-0.976,2.317,1.023,43.932403326034546,-0.036,-74.4242127562552,-1.603
0.007,-0.276,2.002,0.982,43.93441891670227,-0.03,-74.4242127562552,-0.343
0.072,0.319,2.212,1.015,43.93478012084961,-0.002,-74.4242127562552,2.247
0.019,-1.221,1.022,0.992,43.93510913848877,-0.019,-74.4242127562552,-0.133
0.053,-0.766,1.337,1.0,43.93543004989624,0.02,-74.4242127562552,0.112
0.075,-0.206,2.562,1.01,43.935768604278564,-0.007,-74.4242127562552,0.182
0.007,-0.766,0.917,1.015,43.9360830783844,0.007,-74.03234142420041,0.427
0.041,-0.276,0.287,1.013,43.9363911151886,-0.014,-74.03234142420041,0.147
0.079,-0.416,1.757,1.01,43.93670177459717,-0.014,-74.03234142420041,0.147
0.039,-0.836,0.952,1.0,43.937012910842896,-0.017,-74.03234142420041,-0.238
0.062,0.039,0.672,1.033,44.5011887550354,0.0,-74.03234142420041,0.007
0.059,-0.871,2.037,1.017,44.503530740737915,-0.02,-75.28925966162909,0.322
0.031,-0.626,1.092,1.01,44.503965854644775,-0.018,-75.28925966162909,0.497
0.026,-0.136,0.987,1.001,44.50429630279541,-0.008,-75.28925966162909,-0.098
0.013,-0.661,1.162,1.004,44.50460505485535,-0.01,-75.28925966162909,0.147
0.053,-0.661,0.567,1.019,44.50497078895569,-0.018,-75.28925966162909,0.182
0.019,-0.696,1.477,1.012,44.50534653663635,-0.01,-75.28925966162909,-0.343
0.023,-0.556,0.637,1.012,44.50564002990723,0.004,-75.28925966162909,-0.273
0.052,0.074,1.302,1.009,44.50589108467102,-0.014,-75.28925966162909,0.392
0.031,-0.941,0.847,1.016,44.50614809989929,-0.015,-75.14817836506332,-0.623
0.035,-0.556,0.987,1.007,44.50642919540405,-0.014,-75.14817836506332,-0.728
0.049,-0.206,1.022,1.014,45.09818172454834,-0.03,-75.14817836506332,0.007
0.029,-0.696,0.917,1.012,45.09882664680481,-0.016,-74.25994427273689,0.182
0.034,-0.171,0.637,1.004,45.10082721710205,-0.02,-74.25994427273689,0.112
0.032,-0.311,1.162,1.0,45.101123571395874,-0.024,-74.25994427273689,-0.133
0.031,-0.521,0.462,1.006,45.101383209228516,-0.004,-74.25994427273689,-0.203
0.042,-0.416,1.232,1.017,45.1016321182251,-0.02,-74.25994427273689,0.042
0.026,-0.416,0.427,1.012,45.1018807888031,-0.006,-74.25994427273689,0.042
0.043,-0.311,1.442,1.006,45.10214185714722,-0.013,-74.25994427273689,-0.028
0.04,-0.626,0.847,1.015,45.102410078048706,-0.006,-73.28301896556798,0.462
0.019,-0.346,0.287,1.005,45.102766036987305,-0.019,-73.28301896556798,0.007
0.028,-0.381,1.372,1.008,45.10314321517944,-0.009,-73.28301896556798,0.077
0.05,-0.766,0.952,1.011,45.10783934593201,-0.015,-73.28301896556798,0.007
0.036,-0.136,1.092,1.007,45.66107535362244,-0.019,-73.28301896556798,-0.448
0.032,-0.451,1.057,1.01,45.66332721710205,-0.016,-73.19418479171313,0.812
-0.005,-0.381,0.252,1.02,45.663668155670166,-0.026,-73.19418479171313,0.637
0.066,-0.661,2.317,0.997,45.66399788856506,-0.006,-73.19418479171313,-0.483
0.047,-0.661,0.672,0.998,45.6643602848053,0.002,-73.19418479171313,-1.008
0.028,-0.101,0.812,1.026,45.66468667984009,-0.002,-73.19418479171313,-0.168
0.04,-0.311,1.232,1.032,45.66499996185303,-0.017,-73.19418479171313,0.462
0.054,-0.731,0.987,1.011,45.665310859680176,-0.021,-73.19418479171313,-0.518
0.023,-0.521,1.127,0.996,45.66561818122864,0.004,-73.19418479171313,-0.833
0.045,-0.521,0.987,1.012,45.665929317474365,-0.016,-73.21798123844096,0.812
0.042,-0.311,0.707,1.027,45.666255712509155,-0.025,-73.49417516189646,0.672
0.016,-0.276,0.602,1.003,46.22916531562805,-0.019,-73.49417516189646,-0.553
0.02,-0.591,0.812,1.013,46.231478691101074,-0.011,-72.69595464896504,0.952
0.043,-0.486,1.372,0.998,46.231911182403564,-0.023,-74.47913283382105,0.007
0.041,-0.766,0.497,1.022,46.232224225997925,-0.007,-74.47913283382105,0.287
0.036,-0.521,1.512,1.021,46.23249936103821,-0.009,-74.47913283382105,0.112
0.036,-0.626,1.687,1.021,46.232762575149536,-0.009,-74.47913283382105,-0.623
0.042,-0.206,2.072,1.007,46.23301911354065,-0.008,-74.47913283382105,-0.168
0.042,-0.276,1.302,1.004,46.233277320861816,-0.024,-74.47913283382105,0.182
0.057,-0.696,0.532,1.006,46.23353457450867,-0.017,-74.47913283382105,0.112
0.047,-0.241,1.932,1.024,46.23379063606262,-0.015,-74.47913283382105,-0.938
0.033,-0.416,1.022,1.009,46.234044551849365,0.015,-74.47913283382105,0.392
0.051,-0.381,0.917,1.009,46.80985689163208,-0.011,-74.47913283382105,-0.273
0.027,-0.591,0.882,1.023,46.81054067611694,-0.007,-73.64867769283873,0.287
0.008,-0.311,0.112,1.009,46.812565326690674,-0.019,-73.64867769283873,1.057
0.025,-1.221,-0.868,0.978,46.81284832954407,0.014,-74.11100866789386,0.147
0.054,-0.241,1.862,0.997,46.81310820579529,-0.016,-74.11100866789386,-2.303
0.027,-0.311,0.497,1.03,46.81335687637329,0.026,-74.11100866789386,0.847
0.038,-0.976,-0.343,1.002,46.813600301742554,-0.018,-74.11100866789386,2.072
0.051,-0.416,2.002,0.99,46.813841819763184,-0.033,-74.11100866789386,-0.203
0.032,-0.206,-0.308,0.976,46.814077377319336,0.004,-74.11100866789386,0.357
0.02,-0.486,2.072,1.037,46.8143572807312,-0.012,-74.11100866789386,0.322
0.031,-0.521,0.112,1.011,46.81459879875183,-0.014,-74.11100866789386,-0.063
0.076,-0.836,1.057,1.02,47.39474534988403,-0.009,-74.11100866789386,0.322
0.036,-0.556,1.057,1.016,47.39554047584534,-0.011,-74.55261430214365,1.057
0.03,-0.346,1.337,1.009,47.39759707450867,-0.031,-74.55261430214365,0.497
0.034,-0.521,1.092,1.001,47.39802885055542,-0.01,-74.49218071498791,-0.203
0.02,-0.171,1.162,1.009,47.39840602874756,-0.004,-74.49218071498791,0.042
0.039,-0.451,1.617,1.013,47.39873671531677,-0.029,-74.49218071498791,0.217
0.044,-0.521,1.722,1.021,47.3990592956543,0.008,-74.49218071498791,0.182
0.038,-0.591,1.022,1.022,47.39937710762024,-0.004,-74.49218071498791,-0.098
0.035,-0.171,1.022,1.009,47.39968967437744,-0.017,-74.49218071498791,1.022
0.034,-1.081,0.707,1.008,47.399999380111694,-0.002,-74.49218071498791,-0.203
0.045,-0.976,1.022,1.025,47.40031409263611,0.004,-74.49218071498791,-0.588
0.046,-0.136,0.777,1.024,47.40066123008728,-0.001,-74.49218071498791,0.497
0.034,-0.661,0.882,1.007,47.95640683174133,-0.019,-74.49218071498791,0.252
0.067,-0.871,-0.168,1.036,47.95879364013672,-0.024,-73.01999192571824,-0.308
0.01,-0.556,0.882,0.998,47.95916128158569,0.001,-73.01999192571824,0.987
0.064,0.004,3.507,1.002,47.95942139625549,-0.009,-73.01999192571824,0.602
0.055,-1.431,-1.148,0.987,47.95967364311218,-0.032,-73.01999192571824,1.162
-0.025,-0.486,1.757,1.003,47.95992398262024,-0.083,-73.01999192571824,-0.518
0.063,0.179,0.777,1.027,47.96019530296326,-0.01,-74.5750705351877,-1.953
0.026,-0.696,2.177,1.022,47.96044921875,0.006,-74.5750705351877,0.987
0.002,-0.941,-1.533,0.975,47.96068978309631,-0.003,-74.5750705351877,0.497
0.048,-0.976,2.387,1.005,47.96092700958252,0.005,-74.5750705351877,0.952
0.008,-0.486,-1.673,0.985,47.96116328239441,-0.047,-74.5750705351877,0.252
0.001,-0.311,-0.938,1.002,47.9668390750885,-0.039,-74.5750705351877,-1.148
0.021,-0.976,-0.238,0.987,48.61208415031433,-0.015,-74.5750705351877,0.602
0.022,-0.416,2.387,1.02,48.614680767059326,-0.022,-73.29089418615314,-0.728
0.04,-0.661,0.602,1.007,48.61510729789734,-0.005,-73.29089418615314,0.182
0.018,-0.171,2.632,1.003,48.61537432670593,-0.022,-73.29089418615314,-0.063
0.018,-0.556,2.107,1.004,48.6156222820282,-0.029,-73.29089418615314,0.462
0.066,-0.451,0.287,1.029,48.61586833000183,-0.023,-73.29089418615314,-1.008
0.028,-0.311,2.107,1.002,48.61611485481262,0.013,-73.29089418615314,-0.098
0.005,-0.906,-0.378,1.01,48.61635756492615,-0.002,-73.29089418615314,0.112
0.026,-0.241,1.547,1.005,48.61660051345825,-0.013,-73.29089418615314,1.092
0.04,-0.766,0.637,1.006,48.616843938827515,-0.026,-72.78031313230532,0.007
0.033,-0.416,0.112,1.006,48.61708927154541,-0.01,-72.78031313230532,-0.203
0.014,-0.661,1.547,1.018,49.229273080825806,-0.012,-72.78031313230532,-0.483
0.035,0.004,0.602,0.988,49.23173546791077,0.011,-75.98346781692867,-0.483
-0.015,-0.871,2.317,0.986,49.23221039772034,-0.02,-75.98346781692867,-0.308
0.023,-0.661,1.582,1.012,49.23250961303711,-0.03,-75.98346781692867,1.722
0.047,0.144,-0.098,0.984,49.23277306556702,-0.014,-75.98346781692867,0.007
0.028,-0.871,0.217,1.003,49.233025789260864,-0.001,-75.98346781692867,0.007
0.042,-0.801,1.127,1.049,49.233274698257446,0.008,-75.98346781692867,0.462
0.024,-0.381,1.512,1.022,49.23351716995239,-0.025,-76.26817336539035,0.147
0.032,-0.626,0.147,1.004,49.23377704620361,-0.026,-76.26817336539035,-0.098
0.05,-0.346,0.777,1.001,49.234028577804565,-0.003,-76.26817336539035,0.742
0.037,-0.871,1.967,1.022,49.23435425758362,-0.024,-76.26817336539035,-0.168
0.047,0.004,2.667,1.027,49.236074924468994,-0.003,-76.26817336539035,-1.813
0.047,-0.066,2.037,1.02,49.85593104362488,0.005,-76.26817336539035,-0.553
0.044,-0.416,1.092,1.013,49.85808563232422,-0.013,-74.23145089165357,0.147
0.032,-0.521,0.462,1.027,49.858433961868286,-0.009,-73.43866570412918,-0.028
0.038,-0.521,0.462,1.018,49.85870146751404,-0.011,-73.43866570412918,0.602
0.044,-0.136,1.792,1.009,49.85895228385925,-0.012,-73.43866570412918,0.042
0.044,-0.416,0.777,1.015,49.85919785499573,-0.005,-73.43866570412918,-0.098
0.032,-0.416,0.777,1.007,49.859487533569336,-0.014,-73.43866570412918,-0.098
0.026,-0.871,1.232,1.012,49.85973882675171,-0.013,-73.43866570412918,0.252
0.036,-0.521,1.617,1.008,49.86005616188049,-0.009,-73.43866570412918,-0.308
0.036,-0.556,1.617,1.008,49.86039161682129,-0.009,-73.43866570412918,-0.308
0.047,-0.416,1.477,1.009,49.86073541641235,-0.013,-73.43866570412918,-0.203
0.04,-0.346,0.707,1.01,49.8610463142395,-0.019,-73.43866570412918,0.217
0.008,-0.311,1.547,1.018,50.467304706573486,-0.008,-73.51155893648344,-0.203
0.045,-1.011,0.777,1.002,50.46793842315674,0.012,-73.39061916729786,0.672
0.021,-0.171,0.917,1.013,50.46826434135437,-0.013,-73.39061916729786,0.812
0.012,-0.171,0.917,1.011,50.470399618148804,-0.041,-73.39061916729786,0.077
0.032,-1.291,1.512,1.001,50.47084307670593,0.016,-73.39061916729786,-0.763
0.035,-0.556,1.792,1.007,50.47121334075928,0.015,-73.39061916729786,-0.168
0.043,0.144,1.477,1.019,50.47154641151428,-0.011,-73.39061916729786,1.057
0.035,-0.836,0.707,1.014,50.471866607666016,-0.03,-73.39061916729786,-0.238
0.026,-1.256,1.302,1.014,50.4721999168396,-0.015,-73.39061916729786,-0.658
0.047,-0.171,1.267,1.001,50.47251892089844,0.006,-73.39061916729786,-0.203
0.022,-0.381,0.812,1.02,50.47284483909607,-0.03,-74.44745763167026,0.742
0.035,-0.661,0.497,1.029,50.47315049171448,-0.028,-74.44745763167026,0.882
0.04,-0.451,0.987,0.999,51.08682560920715,-0.004,-74.44745763167026,-0.378
0.038,-0.381,2.107,1.025,51.0890896320343,-0.029,-74.20303842895196,0.147
0.016,-0.346,0.182,1.004,51.089515924453735,-0.021,-74.20303842895196,-0.588
0.058,-0.626,1.932,1.003,51.08987855911255,-0.011,-74.20303842895196,-0.203
0.035,-0.626,1.652,1.01,51.09021735191345,0.007,-74.20303842895196,0.147
0.029,-0.451,-0.063,1.034,51.09051442146301,-0.007,-74.20303842895196,0.742
0.049,-0.836,1.162,1.005,51.09086036682129,0.002,-73.26168203147454,0.252
0.037,-0.731,0.637,1.003,51.09119439125061,-0.021,-73.26168203147454,-0.868
0.023,-0.451,0.952,1.01,51.09151220321655,-0.002,-73.26168203147454,0.532
0.043,-0.416,0.812,1.012,51.09182262420654,-0.011,-73.26168203147454,0.812
0.048,-0.766,0.812,1.013,51.092127084732056,-0.009,-73.26168203147454,0.322
0.027,-0.731,1.407,1.007,51.09243106842041,-0.016,-73.26168203147454,0.077
0.041,-0.346,1.197,1.015,51.69639706611633,-0.016,-73.26168203147454,-0.343
0.035,-0.486,0.567,1.02,51.69874334335327,-0.038,-74.13797973800455,0.777
0.037,-0.241,0.742,1.012,51.69909858703613,-0.012,-74.13797973800455,-0.483
0.024,-0.766,1.442,1.007,51.699360847473145,-0.036,-74.13797973800455,0.392
0.041,-0.801,-0.343,0.996,51.69960641860962,0.011,-74.01013275493644,0.707
0.061,0.389,2.982,1.029,51.699856996536255,-0.023,-74.01013275493644,-0.588
0.0,-0.486,1.337,1.02,51.70011520385742,-0.026,-74.01013275493644,-0.763
0.041,-1.151,0.042,0.997,51.70035719871521,-0.001,-74.01013275493644,1.407
0.05,-0.346,2.562,0.996,51.70059823989868,-0.019,-74.01013275493644,-1.043
0.043,0.039,1.792,1.027,51.70085334777832,-0.01,-74.01013275493644,-0.728
0.024,-0.661,0.462,1.041,51.7011034488678,-0.009,-74.01013275493644,0.567
0.06,-0.661,2.387,1.009,51.702898263931274,-0.029,-74.01013275493644,-0.063
0.034,-0.521,2.072,0.991,52.353896141052246,-0.004,-74.01013275493644,-0.938
0.028,-0.486,0.392,1.012,52.35616612434387,-0.017,-74.40764237523297,-0.483
0.031,-0.346,0.777,1.016,52.35656023025513,-0.001,-74.40764237523297,-0.098
0.046,-0.521,1.407,1.0,52.35682678222656,-0.013,-74.40764237523297,0.392
0.018,-0.591,0.812,0.995,52.35706806182861,-0.01,-74.40764237523297,0.112
0.042,-0.451,1.652,1.019,52.35730051994324,-0.017,-74.40764237523297,-0.238
0.05,-0.206,0.567,1.025,52.35752844810486,-0.014,-74.40764237523297,0.182
0.021,-0.871,1.057,1.001,52.3577561378479,-0.006,-73.87755980412872,-0.203
0.041,-0.486,0.812,1.005,52.35798120498657,-0.002,-73.87755980412872,-0.308
0.032,-0.276,1.477,1.015,52.358219385147095,-0.016,-73.87755980412872,0.147
0.03,-0.591,0.427,1.014,52.35846185684204,-0.026,-73.87755980412872,0.217
0.055,-0.416,1.757,1.016,52.36042094230652,-0.004,-73.87755980412872,-0.413
0.038,-0.101,1.337,1.01,52.994954347610474,-0.019,-73.87755980412872,0.112
0.046,-0.836,1.407,1.02,52.9972779750824,-0.022,-73.772347396424,0.077
0.034,-0.486,0.462,1.008,52.997775077819824,-0.021,-73.37662871072321,0.007
0.031,-0.556,1.197,1.004,52.99814987182617,-0.011,-73.37662871072321,0.147
0.044,-0.136,1.092,1.015,52.998497009277344,-0.016,-73.37662871072321,-0.343
0.037,-0.696,0.217,1.024,52.99883198738098,-0.009,-73.37662871072321,0.042
0.041,-0.556,0.812,0.999,52.999186992645264,-0.015,-73.37662871072321,0.322
0.036,-0.416,0.847,1.004,52.99951457977295,-0.015,-73.37662871072321,0.147
0.028,-0.346,1.757,1.012,52.99983763694763,-0.009,-73.37662871072321,-0.378
0.041,-0.731,0.742,1.01,53.000154972076416,-0.011,-73.37662871072321,0.252
0.044,-0.696,0.672,1.015,53.00048041343689,-0.015,-73.37662871072321,-0.168
0.059,-0.346,1.722,1.026,53.00139021873474,-0.007,-74.05740065215542,0.112
0.041,-0.381,2.562,1.026,53.630017042160034,-0.035,-74.05740065215542,0.602
0.034,-0.871,0.917,1.01,53.63063287734985,-0.022,-73.66022470726276,0.672
0.055,-0.871,0.917,1.009,53.63262629508972,-0.012,-73.66022470726276,0.217
0.03,-0.381,1.127,1.004,53.63289141654968,-0.008,-73.66022470726276,-0.273
0.041,-0.941,0.322,1.004,53.633132457733154,-0.017,-73.66022470726276,0.987
0.031,-0.381,0.322,1.004,53.633368730545044,-0.016,-73.66022470726276,0.987
0.047,-0.171,0.987,1.022,53.63360047340393,-0.007,-73.66022470726276,-0.763
0.041,-0.346,1.512,1.018,53.63383150100708,0.003,-73.389956149404,-0.203
0.05,-0.556,0.672,1.01,53.634061336517334,-0.02,-73.389956149404,0.742
0.044,-0.451,0.567,1.005,53.63430857658386,-0.019,-73.389956149404,0.182
0.029,-0.311,1.757,1.012,53.63453388214111,-0.003,-73.389956149404,-0.518
0.027,-0.451,-0.098,1.007,53.63475704193115,-0.027,-73.389956149404,0.497
0.066,-0.171,2.142,1.017,54.23704552650452,-0.035,-73.389956149404,0.462
0.023,-0.626,1.897,1.026,54.239341497421265,-0.012,-75.3766008929122,0.952
0.044,-0.626,1.897,1.016,54.239888429641724,-0.027,-75.3766008929122,1.722
0.056,-0.416,-0.133,1.004,54.24028444290161,-0.032,-75.3766008929122,-0.973
0.034,0.109,0.497,0.997,54.24064040184021,-0.0,-75.3766008929122,-1.708
0.036,-0.311,1.582,1.01,54.240994691848755,0.008,-74.11884953474939,0.182
0.043,-0.836,1.722,1.016,54.241339683532715,-0.004,-74.11884953474939,1.057
0.049,0.214,1.267,1.005,54.24167776107788,-0.016,-74.11884953474939,-0.098
0.051,0.214,1.267,1.005,54.24201059341431,-0.016,-74.11884953474939,-0.098
0.033,-0.731,1.057,1.009,54.24236011505127,-0.01,-74.11884953474939,-0.588
0.021,-0.556,0.882,1.009,54.2426917552948,-0.006,-74.11884953474939,-0.098
0.051,-0.486,0.112,1.014,54.243021965026855,-0.002,-74.11884953474939,0.742
0.037,-0.731,1.967,1.008,54.81597399711609,-0.024,-74.11884953474939,0.567
0.024,-0.731,0.112,1.006,54.816625118255615,-0.01,-73.67275020099106,0.497
0.04,-0.416,0.497,1.005,54.81869387626648,-0.011,-73.67275020099106,-0.028
0.046,-0.486,1.162,1.012,54.81897950172424,-0.007,-73.67275020099106,-0.063
0.031,-0.451,0.707,1.009,54.81922483444214,-0.018,-73.67275020099106,-0.063
0.045,-0.346,1.162,1.017,54.81945824623108,-0.014,-73.67275020099106,0.042
0.045,-0.696,0.847,1.017,54.81968402862549,-0.009,-73.24026574438071,-0.028
0.03,-0.416,1.477,1.011,54.81991362571716,-0.007,-73.24026574438071,0.147
0.038,-0.171,0.252,1.004,54.82013964653015,-0.009,-73.24026574438071,-0.063
0.027,-0.766,1.337,1.004,54.82036375999451,-0.015,-73.24026574438071,0.077
0.038,-0.451,0.777,1.015,54.8206000328064,-0.014,-73.24026574438071,0.007
0.034,-0.556,1.652,1.006,54.820836782455444,-0.014,-73.24026574438071,-0.098
0.044,-0.801,1.232,1.012,55.45422339439392,-0.022,-73.24026574438071,0.077
0.042,0.004,0.322,1.012,55.4564950466156,0.005,-73.51514860647914,0.742
0.02,-0.486,1.337,1.02,55.45689558982849,-0.042,-73.51514860647914,1.022
0.043,-0.521,0.882,1.006,55.4572594165802,-0.022,-73.51514860647914,-0.273
0.052,-0.731,1.022,1.01,55.457587242126465,-0.0,-73.51514860647914,-0.378
0.023,-0.381,1.477,1.013,55.45790195465088,-0.009,-73.51514860647914,0.322
0.044,0.249,1.267,1.021,55.45822286605835,-0.033,-73.51514860647914,-0.098
0.051,-0.836,0.917,1.011,55.45862007141113,-0.018,-73.51514860647914,-0.203
0.008,-0.556,1.092,0.997,55.45902705192566,0.0,-73.51514860647914,0.077
0.046,-0.206,1.477,1.001,55.459354400634766,-0.007,-73.51514860647914,-0.588
0.045,-0.591,1.582,1.021,55.45970964431763,-0.018,-73.96425454875352,0.392
0.03,-0.276,0.707,1.009,56.10180854797363,-0.023,-73.96425454875352,-0.028
0.037,-0.346,0.882,1.007,56.10408806800842,-0.023,-73.74142384547969,-0.658
0.042,-0.346,1.092,1.009,56.10446524620056,-0.01,-73.74142384547969,-0.378
0.045,-0.591,0.532,1.019,56.10475444793701,-0.013,-73.74142384547969,-0.098
0.031,-0.206,1.442,1.013,56.10502529144287,-0.015,-73.74142384547969,0.497
0.042,-0.591,1.267,1.015,56.10528898239136,-0.023,-73.58961978587801,-0.343
0.054,-0.591,1.302,1.013,56.105549812316895,-0.005,-73.58961978587801,-0.063
0.024,-0.136,1.162,1.013,56.10580587387085,-0.012,-73.58961978587801,-0.273
0.032,-0.486,1.372,1.005,56.106062173843384,-0.009,-73.58961978587801,0.007
0.043,-0.556,1.302,1.011,56.106334924697876,-0.008,-73.58961978587801,-0.308
0.022,-0.241,1.022,1.003,56.10659146308899,-0.018,-73.58961978587801,0.252
0.038,-0.591,0.567,1.008,56.10747456550598,-0.0,-73.58961978587801,0.287
0.047,-0.241,0.917,1.013,56.1115517616272,-0.015,-73.58961978587801,-0.203
0.032,-0.556,1.162,1.014,56.74131941795349,-0.007,-73.58961978587801,-0.343
0.028,-0.976,2.597,0.994,56.743691205978394,-0.028,-72.70681567845227,0.812
0.064,-0.521,1.827,1.019,56.74408745765686,-0.028,-72.70681567845227,-1.848
0.064,-0.731,-0.518,1.024,56.744495153427124,-0.028,-72.70681567845227,1.057
-0.004,0.669,1.407,1.009,56.744893074035645,-0.052,-72.70681567845227,-0.343
0.05,-0.626,2.422,1.007,56.74520444869995,-0.02,-72.70681567845227,-0.203
0.084,-1.046,0.182,1.0,56.74546265602112,0.004,-72.70681567845227,-0.133
0.017,-0.941,1.897,1.005,56.745752811431885,-0.009,-72.70681567845227,-0.798
0.069,-0.136,2.387,1.031,56.746039152145386,-0.033,-72.70681567845227,0.462
0.038,-0.521,1.477,1.02,56.746320724487305,-0.023,-72.75519095011306,0.217
0.015,-0.556,0.427,0.988,56.74659085273743,-0.021,-73.22262431815119,-0.273
0.055,-0.556,1.372,1.012,56.74761748313904,-0.003,-73.22262431815119,-0.378
0.033,-0.626,1.757,1.015,57.37052536010742,-0.012,-73.22262431815119,-0.238
0.025,-0.521,0.812,1.003,57.37285614013672,-0.016,-72.84757825978816,-0.623
0.011,-0.556,1.267,1.008,57.373218059539795,-0.013,-72.84757825978816,0.147
0.025,-0.171,1.267,1.008,57.37349081039429,-0.013,-72.84757825978816,0.147
0.032,-0.906,0.847,1.007,57.37374305725098,-0.016,-72.84757825978816,0.182
0.037,-0.381,0.847,1.011,57.374000549316406,-0.017,-73.17272938708287,0.042
0.033,-0.486,1.022,1.014,57.3742561340332,-0.011,-73.17272938708287,0.252
0.035,-0.696,0.707,1.011,57.37449765205383,-0.017,-73.17272938708287,0.427
0.032,-0.241,1.302,1.008,57.37473392486572,-0.017,-73.17272938708287,-0.168
0.025,-0.556,1.267,0.999,57.37496852874756,-0.016,-73.17272938708287,0.112
0.034,-0.206,1.617,1.011,57.375203371047974,-0.009,-73.17272938708287,-0.063
0.036,-0.346,1.022,1.024,57.37753438949585,-0.004,-73.17272938708287,-0.063
0.035,-0.346,1.232,1.019,58.013500690460205,-0.018,-73.17272938708287,-0.238
0.038,-0.416,2.352,1.017,58.0158314704895,-0.043,-73.72624943691133,0.427
0.051,-0.451,0.112,1.014,58.01626253128052,-0.021,-73.72624943691133,-0.763
0.036,-0.171,1.337,0.989,58.01653480529785,-0.024,-73.72624943691133,-0.763
0.024,-0.626,1.127,1.008,58.01677918434143,-0.001,-73.72624943691133,-0.028
0.044,-0.486,1.197,1.007,58.017011880874634,-0.011,-73.72624943691133,0.007
0.044,-0.486,1.197,1.007,58.017245054244995,-0.011,-73.72624943691133,0.007
0.03,-0.241,1.407,0.994,58.017470359802246,-0.004,-73.72624943691133,-0.413
0.015,-0.661,1.792,1.017,58.01769948005676,-0.001,-73.72624943691133,-0.273
0.039,-0.031,3.927,1.041,58.017922163009644,-0.05,-73.72624943691133,0.252
0.074,-0.416,1.372,1.012,58.01815938949585,-0.028,-74.1209052834502,-1.253
0.017,-0.661,0.707,0.994,58.0184166431427,-0.006,-74.1209052834502,-0.098
-0.021,-0.661,0.532,0.999,58.65281867980957,0.021,-74.1209052834502,0.917
0.087,-0.171,1.407,1.029,58.65507674217224,-0.017,-73.93674058606643,-1.113
0.025,-0.031,4.172,1.042,58.65541195869446,-0.042,-73.93674058606643,0.182
0.011,-0.801,-0.483,0.983,58.6556715965271,0.01,-73.93674058606643,1.967
0.053,0.004,3.332,1.008,58.65591287612915,-0.028,-73.49202072956565,-0.903
0.01,-1.011,0.042,1.01,58.656166791915894,0.009,-73.49202072956565,-0.133
0.052,-0.836,1.652,1.038,58.656413316726685,0.005,-73.49202072956565,0.322
0.04,-0.556,1.687,1.003,58.65665340423584,-0.018,-73.49202072956565,0.602
0.031,-0.171,1.827,1.026,58.65688395500183,-0.014,-73.49202072956565,-0.728
0.024,-0.171,1.827,1.016,58.65710973739624,-0.001,-73.49202072956565,-0.728
0.045,-0.241,1.162,1.029,58.657334327697754,-0.004,-73.49202072956565,0.112
0.014,-0.696,1.372,1.011,58.657750368118286,-0.011,-73.49202072956565,-0.168
0.028,-0.696,1.372,1.011,58.66199541091919,-0.011,-73.49202072956565,-0.168
0.05,-0.416,2.037,1.023,59.336660623550415,-0.015,-73.49202072956565,0.252
0.049,-0.171,2.107,1.02,59.33893585205078,-0.015,-74.92693226924018,0.497
0.045,-0.836,-0.028,1.006,59.3392767906189,-0.004,-74.92693226924018,0.427
0.027,-0.066,1.512,1.006,59.339545249938965,-0.009,-74.92693226924018,-0.588
0.047,-0.731,0.987,1.018,59.33979344367981,-0.006,-73.29689928223264,0.602
0.04,-0.416,1.162,1.011,59.34003829956055,-0.014,-73.29689928223264,0.392
0.003,-0.206,1.337,1.007,59.340274810791016,-0.007,-73.29689928223264,-0.308
0.066,-0.416,1.197,1.016,59.34050917625427,-0.006,-73.29689928223264,0.217
0.017,-0.626,0.917,1.01,59.340742111206055,-0.023,-73.29689928223264,-0.203
0.04,-0.311,0.847,1.011,59.34097623825073,0.001,-73.29689928223264,-0.273
0.028,-0.801,1.897,1.023,59.34120726585388,-0.018,-73.29689928223264,0.217
0.031,-0.346,1.757,1.001,59.974021196365356,-0.014,-73.29689928223264,0.112
0.028,-0.416,0.742,1.016,59.97624683380127,-0.008,-73.21642233888701,0.042
0.044,-0.381,0.392,1.017,59.976595640182495,-0.013,-73.21642233888701,-0.098
0.034,-0.381,0.497,1.008,59.97685480117798,-0.02,-73.21642233888701,-0.028
0.024,-0.521,1.372,1.005,59.97709560394287,-0.007,-73.21642233888701,-0.168
0.055,-0.346,1.197,1.011,59.977336168289185,-0.003,-73.21642233888701,0.147
0.031,-0.346,1.512,1.009,59.97756481170654,-0.015,-73.21642233888701,0.182
0.043,-0.136,1.582,1.018,59.977790117263794,-0.028,-73.21642233888701,-0.308
0.037,-0.556,0.567,1.002,59.97801399230957,-0.003,-73.21642233888701,0.252
0.027,-0.346,1.267,1.005,59.978254079818726,-0.011,-73.55382388533248,-0.378
0.033,-0.416,0.672,1.004,59.978484869003296,-0.002,-73.55382388533248,0.112
0.031,-0.591,0.917,1.012,60.62228441238403,-0.013,-73.55382388533248,0.567
