vy,ax,ay,vx,az,time,comp,vz
1.523,0.063,0.092,-13.593,1.023,28.712392330169678,-70.71933408962688,-24.237
0.963,0.143,0.019,-15.763,1.023,28.71274733543396,-70.71933408962688,-23.152
-6.352,0.076,0.016,-16.988,0.785,28.713088035583496,-70.98024686093414,-21.752
0.438,0.127,0.064,-18.353,1.143,28.713419914245605,-70.98024686093414,-21.927
0.438,0.092,0.044,-18.143,0.953,28.713711261749268,-70.98024686093414,-21.927
-0.507,0.129,0.038,-17.898,1.045,28.713959455490112,-70.98024686093414,-21.577
1.453,0.071,0.057,-16.918,0.943,28.714173555374146,-70.98024686093414,-20.282
3.378,0.106,-0.023,-14.083,1.073,28.714378833770752,-70.98024686093414,-17.902
-0.507,0.024,0.002,-17.023,0.859,28.71458148956299,-70.98024686093414,-16.292
-8.802,0.073,0.019,-17.478,1.049,29.243968725204468,-70.98024686093414,-12.617
-0.017,0.144,-0.047,4.467,0.909,29.24628782272339,-71.29995491369998,-13.947
0.088,0.144,-0.079,3.872,0.962,29.246700286865234,-71.29995491369998,-14.472
-3.237,0.21,-0.095,1.527,1.056,29.246958017349243,-70.106378812844,-15.942
-0.822,0.245,-0.132,4.992,1.054,29.24720072746277,-70.106378812844,-17.657
1.803,0.121,-0.13,5.517,1.08,29.247446537017822,-70.106378812844,-17.762
-0.822,0.265,-0.129,5.027,0.921,29.24769687652588,-70.106378812844,-18.112
0.788,0.19,-0.161,2.927,0.959,29.247971296310425,-70.106378812844,-18.917
-2.082,0.154,-0.041,0.862,0.99,29.24827790260315,-70.106378812844,-19.687
-5.197,0.187,-0.127,0.827,1.107,29.248600482940674,-70.106378812844,-19.652
-0.542,0.163,-0.075,3.382,0.977,29.24884343147278,-70.106378812844,-19.162
2.328,0.147,-0.133,5.167,0.968,29.249051094055176,-70.106378812844,-18.602
4.848,0.204,-0.062,6.042,0.968,29.249251127243042,-70.106378812844,-18.252
-4.077,0.118,-0.095,-2.638,1.086,29.736413717269897,-69.32904161818371,-19.582
20.073,0.197,-0.042,32.607,0.82,29.738452196121216,-67.56378811997928,0.683
17.343,0.201,0.071,30.577,1.018,29.738796710968018,-67.56378811997928,-2.047
15.103,0.25,-0.052,24.872,1.0,29.73908495903015,-67.56378811997928,-2.047
24.413,0.266,0.026,23.192,0.92,29.73934030532837,-67.56378811997928,-5.652
29.033,0.203,-0.042,24.172,1.277,29.739601135253906,-67.56378811997928,-8.312
33.618,0.2,0.027,26.937,1.036,29.73983120918274,-67.56378811997928,-10.342
41.668,-0.062,-0.152,27.322,1.278,29.740071535110474,-67.56378811997928,-19.337
40.548,0.045,-0.023,22.142,1.211,29.7403085231781,-67.56378811997928,-23.082
38.588,-0.04,0.034,19.272,0.944,29.740548849105835,-67.56378811997928,-24.482
35.928,-0.083,0.14,13.147,0.836,29.740776777267456,-67.56378811997928,-26.477
20.668,-0.022,0.073,-3.828,0.795,29.74521565437317,-66.4394289791118,-24.447
20.668,-0.053,0.215,-3.828,0.838,30.265482664108276,-66.4394289791118,-22.697
-20.597,0.163,0.173,11.782,0.96,30.26764464378357,-69.26897741212704,0.438
-22.347,0.237,0.224,13.077,0.91,30.268070220947266,-69.26897741212704,2.048
-17.727,0.102,0.181,8.142,1.029,30.268383026123047,-69.26897741212704,1.698
-18.217,0.156,0.168,6.252,1.014,30.268672227859497,-69.26897741212704,2.188
-16.467,0.164,0.228,4.817,0.916,30.268956184387207,-69.26897741212704,2.503
-13.247,0.162,0.155,2.962,1.09,30.269248485565186,-69.26897741212704,3.518
-9.537,0.131,0.195,-1.798,0.961,30.269527196884155,-67.58591333459354,3.518
-6.737,0.11,0.186,-3.443,1.028,30.269806623458862,-67.58591333459354,3.238
-5.792,0.185,0.275,-6.348,0.979,30.270085334777832,-67.58591333459354,3.133
-5.197,0.114,0.212,-7.783,0.998,30.27036190032959,-67.58591333459354,3.238
-6.912,0.136,0.258,-6.768,0.956,30.27326774597168,-67.58591333459354,3.798
-7.332,0.215,0.264,-4.703,1.023,30.7473087310791,-67.58591333459354,5.793
15.243,0.152,0.091,-15.168,1.032,30.749484300613403,-69.81793453306224,13.738
15.243,0.182,0.114,-15.448,0.952,30.74995446205139,-69.81793453306224,13.423
15.978,0.15,0.115,-16.253,0.949,30.7502863407135,-69.81793453306224,12.933
15.313,0.185,0.119,-14.923,0.974,30.750590801239014,-69.81793453306224,12.338
17.798,0.142,0.133,-16.883,1.0,30.750885486602783,-69.81793453306224,11.953
17.658,0.174,0.157,-18.668,0.969,30.751185655593872,-69.81793453306224,11.778
18.113,0.187,0.123,-19.088,1.035,30.75147032737732,-69.15281371613428,11.323
18.218,0.23,0.145,-19.613,1.038,30.751774787902832,-69.15281371613428,11.008
19.058,0.214,0.071,-19.333,1.076,30.752046823501587,-69.15281371613428,10.413
21.508,0.187,0.13,-18.563,1.088,30.75231170654297,-69.15281371613428,9.818
16.853,0.04,0.097,-11.073,1.142,31.25200128555298,-69.15281371613428,10.623
-6.282,-0.032,-0.023,-23.008,0.861,31.25252628326416,-69.10892005209179,-3.622
-9.607,0.097,0.013,-20.908,1.189,31.254240036010742,-69.10892005209179,-3.762
-8.627,-0.026,0.073,-20.208,0.968,31.254505157470703,-69.10892005209179,-2.992
-11.287,0.049,-0.004,-24.023,1.084,31.254758834838867,-69.10892005209179,-2.747
-10.272,0.032,-0.042,-22.273,0.849,31.25500774383545,-69.10892005209179,-1.662
-5.757,0.076,-0.035,-18.073,1.001,31.25525164604187,-68.92512244725883,-0.017
-8.032,0.116,-0.018,-18.248,1.245,31.255459547042847,-68.92512244725883,-0.962
-7.507,0.077,0.089,-16.988,0.978,31.255666255950928,-68.92512244725883,-0.787
-11.602,-0.065,-0.088,-22.483,0.966,31.2558696269989,-68.92512244725883,-0.472
-9.992,0.343,-0.002,-22.028,0.929,31.256064891815186,-68.92512244725883,-0.822
-13.212,0.186,-0.045,-19.928,1.07,31.258570909500122,-68.92512244725883,-0.542
-15.312,0.108,-0.069,-20.558,0.97,31.734334230422974,-68.92512244725883,-1.627
0.158,0.184,-0.143,-1.658,1.012,31.736370086669922,-68.85518873186236,-24.692
0.928,0.159,-0.105,1.037,1.085,31.73679757118225,-68.85518873186236,-24.272
-2.362,0.173,-0.132,1.107,0.997,31.737126111984253,-68.85518873186236,-23.152
-1.487,0.165,-0.101,2.227,0.902,31.737443208694458,-68.85518873186236,-22.767
2.993,0.095,-0.211,0.022,1.116,31.73772430419922,-68.85518873186236,-21.717
-2.187,0.212,-0.035,2.752,0.978,31.73799419403076,-68.85518873186236,-21.052
0.963,0.051,-0.154,6.287,1.095,31.738257884979248,-68.18505021388535,-18.322
5.688,0.179,-0.158,12.412,1.143,31.738523244857788,-68.18505021388535,-16.187
5.968,0.09,-0.082,16.577,0.994,31.738786697387695,-68.18505021388535,-15.907
-0.437,0.116,-0.051,7.897,0.911,31.739048957824707,-68.18505021388535,-16.047
-5.617,0.174,-0.102,-1.623,1.129,31.739307641983032,-68.18505021388535,-17.692
-3.622,0.169,-0.047,-1.868,1.067,31.740983963012695,-68.18505021388535,-17.657
-0.892,0.164,-0.073,-1.448,1.072,32.24699020385742,-68.18505021388535,-17.797
34.073,-0.046,0.059,26.902,1.347,32.24779725074768,-64.33544554688207,-12.827
29.698,-0.037,0.027,13.882,1.072,32.24983596801758,-64.33544554688207,-16.222
25.253,-0.14,0.061,-2.428,1.103,32.25033521652222,-64.33544554688207,-18.637
20.213,-0.14,0.093,-6.138,1.049,32.25071859359741,-63.635985820756616,-19.092
8.033,-0.096,0.082,-12.648,0.87,32.25106692314148,-63.635985820756616,-18.532
5.443,-0.084,0.105,-14.433,0.868,32.25140428543091,-63.635985820756616,-14.892
1.908,-0.208,0.131,-9.603,0.951,32.25175380706787,-63.635985820756616,-9.327
0.928,-0.146,0.054,-1.378,1.035,32.25205397605896,-63.635985820756616,-5.022
2.433,-0.254,0.055,8.282,1.045,32.25233840942383,-63.635985820756616,-1.067
2.258,-0.198,0.142,19.027,0.956,32.25263285636902,-63.635985820756616,4.358
2.468,-0.095,0.142,26.727,1.004,32.2529182434082,-63.635985820756616,10.623
7.368,-0.2,0.204,27.777,0.965,32.79479455947876,-63.635985820756616,16.958
-5.652,0.163,0.233,0.582,0.89,32.797106981277466,-65.92200676537928,-0.997
-12.092,0.142,0.229,5.202,1.025,32.79751539230347,-65.92200676537928,1.033
-13.002,0.154,0.326,6.287,0.982,32.79785895347595,-65.92200676537928,2.118
-14.402,0.075,0.203,7.372,0.952,32.7981641292572,-65.92200676537928,5.478
-16.152,0.108,0.205,10.382,1.128,32.79845714569092,-65.92200676537928,7.263
-14.542,0.101,0.191,10.977,1.072,32.798747301101685,-65.92200676537928,8.523
-10.342,0.111,0.262,10.277,0.966,32.79905652999878,-65.92200676537928,9.783
-4.742,0.23,0.125,5.657,0.953,32.79934215545654,-66.48111101006626,12.058
-4.742,0.23,0.125,5.657,0.953,32.799601793289185,-66.48111101006626,12.058
-6.352,0.186,0.226,6.287,0.861,32.79982376098633,-66.48111101006626,13.668
-6.352,0.176,0.156,7.407,0.896,32.80311441421509,-66.48111101006626,16.783
-4.462,0.196,0.147,4.257,0.884,33.320472717285156,-66.48111101006626,17.623
11.148,0.097,0.193,-7.818,1.054,33.321030139923096,-67.00166020959198,14.543
4.183,0.037,0.064,-7.748,0.714,33.32281732559204,-67.00166020959198,12.653
4.638,0.083,0.023,-9.603,0.632,33.3230676651001,-67.00166020959198,11.603
13.808,0.147,0.379,-12.928,0.794,33.32331585884094,-67.00166020959198,10.308
9.678,0.102,-0.084,1.737,1.084,33.32354402542114,-66.91708048569096,7.788
12.408,0.101,0.25,7.197,1.221,33.32378840446472,-66.91708048569096,7.928
11.078,0.165,0.086,-4.738,1.166,33.324012994766235,-66.91708048569096,6.563
6.808,0.008,-0.031,-10.093,1.009,33.32423377037048,-66.91708048569096,4.743
6.388,-0.037,0.048,-7.363,0.95,33.32445430755615,-66.91708048569096,4.218
11.008,-0.063,-0.024,-4.493,0.942,33.32467174530029,-66.91708048569096,3.798
11.428,0.039,0.125,-4.318,0.868,33.32488989830017,-66.91708048569096,0.788
9.538,-0.12,-0.142,-4.283,1.026,33.32883667945862,-66.91708048569096,-0.192
7.858,-0.042,0.051,-2.533,0.921,33.79719614982605,-66.91708048569096,-0.507
-0.612,0.091,-0.038,-2.148,0.998,33.799314975738525,-65.26274510749343,-0.017
-1.172,0.065,-0.052,-3.163,0.991,33.79978322982788,-65.26274510749343,-0.962
-0.367,0.079,-0.018,-3.828,1.001,33.800092697143555,-65.26274510749343,-1.312
0.123,0.046,0.027,-3.513,1.029,33.80037260055542,-65.26274510749343,-1.662
0.158,0.05,0.033,-3.548,1.012,33.80064082145691,-66.17595540508493,-1.137
0.683,0.06,0.021,-3.828,1.004,33.8009090423584,-66.17595540508493,-0.507
0.403,0.069,0.032,-3.548,0.992,33.80117654800415,-66.17595540508493,-0.017
0.928,0.069,0.01,-3.023,1.014,33.801437854766846,-66.17595540508493,0.648
1.453,0.091,0.054,-2.393,0.983,33.801698207855225,-66.17595540508493,1.068
1.418,0.102,0.073,-1.973,1.024,33.80195474624634,-66.17595540508493,1.313
1.348,0.113,0.058,-1.168,1.007,34.28975486755371,-66.17595540508493,1.418
1.138,0.078,-0.042,0.897,1.033,34.29034447669983,-65.77799952484595,-0.262
0.823,0.061,-0.062,0.862,1.017,34.290684938430786,-65.77799952484595,0.053
1.103,0.074,-0.064,0.687,0.999,34.29232144355774,-65.77799952484595,0.403
1.453,0.089,-0.058,0.057,1.006,34.29257655143738,-65.77799952484595,0.718
1.033,0.078,-0.06,-0.678,1.017,34.29284334182739,-65.3757475627099,0.998
0.683,0.071,-0.029,-1.378,1.017,34.293102979660034,-65.3757475627099,0.963
0.718,0.08,0.001,-1.203,1.032,34.29335641860962,-65.3757475627099,0.578
0.753,0.079,-0.001,-1.623,1.015,34.29360771179199,-65.3757475627099,0.438
0.823,0.098,-0.019,-1.973,0.992,34.293864250183105,-65.3757475627099,0.053
0.578,0.073,-0.029,-2.008,1.005,34.29409313201904,-65.3757475627099,-0.297
0.193,0.087,-0.009,-1.973,1.03,34.77032923698425,-65.3757475627099,-0.227
1.033,0.077,0.051,1.142,1.028,34.772404193878174,-65.58445165231454,-0.297
0.753,0.091,-0.022,1.457,0.996,34.77281832695007,-65.58445165231454,-0.577
0.928,0.056,-0.016,1.317,0.977,34.77314209938049,-65.58445165231454,-0.542
1.418,0.053,-0.022,1.212,1.015,34.77342128753662,-65.58445165231454,-0.647
0.963,0.09,-0.057,1.072,1.022,34.77364492416382,-65.58445165231454,-0.682
0.963,0.09,-0.06,0.827,1.021,34.77384638786316,-66.18534957795258,-0.647
0.998,0.078,-0.031,0.442,1.0,34.774043798446655,-66.18534957795258,-0.542
0.788,0.083,-0.032,0.337,1.004,34.77424216270447,-66.18534957795258,-0.192
0.718,0.088,-0.037,0.022,1.015,34.77442955970764,-66.18534957795258,-0.332
0.858,0.09,-0.048,-0.118,1.008,34.77461504936218,-66.18534957795258,-0.017
1.173,0.073,-0.061,-0.713,0.996,35.26960039138794,-66.18534957795258,0.053
0.928,0.082,0.0,0.512,1.008,35.27257752418518,-65.94440957307508,-0.157
1.208,0.093,0.025,0.617,1.02,35.27312636375427,-65.94440957307508,-0.332
0.823,0.095,-0.001,0.722,0.974,35.27349877357483,-65.94440957307508,-0.402
1.173,0.08,0.007,0.757,1.011,35.273845911026,-65.94440957307508,-0.332
0.858,0.078,-0.008,1.037,1.033,35.274171590805054,-65.08288473766845,-0.472
0.963,0.086,0.021,0.932,1.012,35.27453875541687,-65.08288473766845,-0.332
1.033,0.086,-0.048,0.722,0.995,35.275611877441406,-65.08288473766845,-0.332
1.033,0.084,-0.021,0.547,0.998,35.27606964111328,-65.08288473766845,-0.157
0.928,0.071,-0.012,0.617,0.986,35.27644443511963,-65.08288473766845,-0.297
0.893,0.084,-0.011,0.372,1.018,35.27679491043091,-65.08288473766845,-0.122
1.033,0.069,-0.034,-0.048,1.006,35.27859973907471,-65.08288473766845,0.018
0.928,0.066,-0.032,-0.293,1.029,35.78909683227539,-65.08288473766845,-0.017
0.893,0.076,-0.003,0.057,1.011,35.79134464263916,-65.35635645490487,-0.087
0.928,0.062,-0.009,0.372,1.035,35.79184913635254,-65.86245290570258,-0.262
0.928,0.078,-0.029,0.442,1.036,35.7921826839447,-65.86245290570258,-0.297
0.998,0.085,-0.017,0.407,0.991,35.79247832298279,-65.86245290570258,-0.332
1.103,0.075,-0.013,0.512,1.009,35.792765378952026,-65.86245290570258,-0.367
0.858,0.09,0.018,0.687,1.018,35.79304838180542,-65.86245290570258,-0.472
1.033,0.072,-0.003,0.582,0.994,35.79332637786865,-65.86245290570258,-0.332
0.858,0.086,-0.014,0.582,0.992,35.79360485076904,-65.86245290570258,-0.472
0.683,0.079,0.008,0.477,1.018,35.79388165473938,-65.86245290570258,-0.262
0.858,0.083,0.022,0.337,1.023,35.794153928756714,-65.86245290570258,-0.122
1.173,0.085,0.006,0.092,1.028,36.2622492313385,-65.86245290570258,-0.087
0.858,0.081,0.022,-0.573,1.017,36.26417851448059,-65.83251138801478,-0.087
0.963,0.087,0.033,-0.328,1.027,36.26444673538208,-65.83251138801478,-0.052
0.893,0.088,-0.005,-0.188,1.001,36.26465654373169,-65.83251138801478,-0.122
0.753,0.074,-0.013,-0.328,1.025,36.26485562324524,-65.31741917085019,-0.192
0.858,0.06,0.006,0.022,1.018,36.26505899429321,-65.31741917085019,-0.332
0.963,0.094,0.002,0.267,1.023,36.26526117324829,-65.31741917085019,-0.052
0.893,0.079,-0.0,0.197,1.001,36.265459060668945,-65.31741917085019,-0.192
0.963,0.078,-0.018,0.407,1.006,36.26565670967102,-65.31741917085019,-0.192
0.858,0.083,-0.011,0.407,1.001,36.26585364341736,-65.31741917085019,-0.122
0.823,0.079,0.003,0.337,1.011,36.26605820655823,-65.31741917085019,-0.262
0.753,0.087,-0.005,0.337,1.015,36.267725467681885,-65.31741917085019,-0.157
0.963,0.08,-0.007,0.407,1.003,36.73146843910217,-65.31741917085019,-0.332
1.173,0.077,0.032,-0.538,0.966,36.731971740722656,-65.33787121618953,0.018
0.858,0.068,-0.003,-0.223,0.987,36.73370575904846,-65.33787121618953,0.018
0.753,0.085,0.01,-0.643,1.034,36.73395776748657,-65.33787121618953,-0.157
0.543,0.091,0.004,-0.783,0.976,36.73417544364929,-65.33787121618953,-0.052
0.508,0.09,0.007,-0.468,1.012,36.734381437301636,-65.33787121618953,-0.192
0.963,0.095,0.014,-0.468,1.039,36.73458242416382,-66.47876898783588,-0.157
1.033,0.084,0.003,-0.573,1.014,36.73478174209595,-66.47876898783588,-0.367
0.788,0.09,-0.007,-0.258,1.009,36.73498034477234,-66.47876898783588,-0.367
0.613,0.082,-0.005,-0.083,0.971,36.735180139541626,-66.47876898783588,-0.262
0.648,0.084,-0.016,-0.188,0.993,36.73539400100708,-66.47876898783588,-0.367
0.893,0.073,-0.028,0.092,1.036,37.213682889938354,-66.47876898783588,-0.157
0.753,0.081,-0.002,-0.083,1.012,37.21582055091858,-66.49204003334457,-0.367
0.893,0.078,-0.029,-0.293,1.008,37.216251850128174,-66.49204003334457,-0.157
0.823,0.085,-0.028,-0.398,0.976,37.216551303863525,-66.49204003334457,0.053
0.893,0.07,-0.001,-0.363,1.006,37.21683120727539,-66.49204003334457,0.018
0.788,0.08,0.016,-0.433,1.041,37.21710467338562,-66.49204003334457,0.088
0.753,0.079,-0.009,-0.503,1.01,37.21737337112427,-66.49204003334457,0.228
1.068,0.096,-0.0,-0.538,0.999,37.21765375137329,-65.09877529727333,0.088
0.718,0.089,0.004,-0.468,0.992,37.21792674064636,-65.09877529727333,-0.017
0.788,0.072,0.001,-0.363,1.034,37.21819758415222,-65.09877529727333,-0.052
0.718,0.085,0.003,-0.433,1.027,37.21845102310181,-65.09877529727333,-0.332
0.613,0.075,-0.016,-0.223,1.001,37.2187020778656,-65.09877529727333,-0.297
1.033,0.077,-0.012,-0.293,0.999,37.70098423957825,-65.09877529727333,-0.402
0.823,0.098,-0.042,0.057,1.019,37.7015106678009,-65.96082944672133,-0.402
0.823,0.072,-0.03,0.057,0.998,37.70334506034851,-65.96082944672133,-0.227
0.683,0.071,-0.024,-0.048,0.999,37.70361614227295,-65.96082944672133,-0.437
0.823,0.066,-0.005,-0.363,1.015,37.70385193824768,-65.96082944672133,-0.192
0.823,0.07,-0.0,-0.258,1.023,37.70407199859619,-65.96082944672133,-0.017
0.718,0.098,0.009,-0.258,1.023,37.70428657531738,-65.96082944672133,-0.192
0.963,0.054,0.012,-0.328,1.04,37.704570055007935,-65.46012268994771,-0.087
0.788,0.105,0.0,-0.363,0.998,37.704878091812134,-65.46012268994771,0.053
0.683,0.102,0.009,-0.328,1.02,37.70515727996826,-65.46012268994771,-0.017
0.893,0.096,-0.017,-0.363,1.029,37.705461502075195,-65.46012268994771,0.018
0.788,0.098,-0.007,-0.363,1.019,37.70810675621033,-65.46012268994771,-0.122
0.613,0.074,-0.021,-0.363,0.979,38.16515922546387,-65.46012268994771,-0.122
0.823,0.07,0.01,0.127,1.022,38.16565656661987,-65.27353998677177,0.018
0.893,0.079,-0.003,0.197,1.012,38.1673378944397,-65.27353998677177,-0.087
0.963,0.085,0.001,0.092,1.017,38.16760063171387,-65.27353998677177,-0.052
0.613,0.073,-0.017,0.267,0.994,38.16782999038696,-65.27353998677177,-0.017
1.033,0.1,-0.009,-0.013,1.01,38.16804790496826,-65.27353998677177,-0.052
1.033,0.092,-0.007,0.092,1.013,38.168251276016235,-65.27353998677177,-0.052
0.928,0.085,-0.005,-0.083,0.996,38.1684455871582,-65.27353998677177,-0.122
0.788,0.063,-0.027,-0.083,1.025,38.1686429977417,-65.27353998677177,-0.227
0.543,0.089,-0.008,0.092,1.018,38.16883611679077,-65.27353998677177,-0.227
0.718,0.073,-0.034,-0.083,1.041,38.169025897979736,-65.27353998677177,-0.262
0.823,0.078,-0.011,-0.223,1.002,38.16921281814575,-65.99508474526513,-0.262
0.858,0.087,-0.025,-0.328,1.018,38.169400453567505,-65.99508474526513,-0.227
0.963,0.084,0.012,-0.433,1.002,38.66507387161255,-65.99508474526513,-0.157
0.823,0.075,0.003,0.127,1.028,38.667208194732666,-66.22965282288182,-0.052
0.683,0.074,0.027,0.162,1.017,38.66763949394226,-66.22965282288182,-0.017
0.963,0.08,0.001,0.057,1.003,38.66795754432678,-66.22965282288182,0.053
0.998,0.087,-0.008,0.092,0.983,38.6682026386261,-66.22965282288182,-0.122
0.788,0.075,0.03,0.197,0.991,38.668426752090454,-66.22965282288182,0.018
0.788,0.091,0.004,0.162,1.026,38.66863656044006,-66.22965282288182,-0.192
0.683,0.07,-0.012,-0.153,1.037,38.668860912323,-66.22965282288182,-0.157
0.893,0.086,0.023,-0.153,1.004,38.66907238960266,-66.22965282288182,-0.262
0.753,0.075,-0.02,0.092,1.007,38.66927456855774,-65.15485462598943,-0.297
0.928,0.067,0.019,-0.153,1.023,38.669477462768555,-65.15485462598943,-0.262
0.858,0.088,0.02,-0.013,0.996,38.67016935348511,-65.15485462598943,-0.297
1.068,0.072,-0.003,-0.188,1.032,39.1719913482666,-65.15485462598943,-0.227
0.963,0.089,-0.003,0.057,1.006,39.173922061920166,-65.08594415738808,-0.122
0.998,0.082,0.015,-0.118,1.016,39.17421579360962,-65.08594415738808,-0.052
0.683,0.064,0.001,0.197,1.009,39.17444062232971,-65.08594415738808,0.053
0.893,0.072,-0.006,0.162,1.006,39.174649715423584,-65.08594415738808,0.053
0.998,0.08,0.007,-0.013,1.015,39.174853563308716,-65.08594415738808,-0.017
0.963,0.075,0.013,-0.083,1.009,39.175053119659424,-65.08594415738808,-0.157
0.858,0.076,0.011,-0.118,1.014,39.17526602745056,-65.85502357193364,-0.227
0.858,0.072,-0.006,0.057,1.031,39.175461530685425,-65.85502357193364,-0.332
0.718,0.085,0.003,-0.048,0.988,39.175681352615356,-65.85502357193364,-0.367
0.578,0.077,-0.029,-0.083,0.997,39.17588710784912,-65.85502357193364,-0.332
0.893,0.073,-0.001,-0.258,1.021,39.718899726867676,-65.85502357193364,-0.437
0.823,0.078,-0.018,-0.013,1.003,39.721035957336426,-64.53822617064951,-0.017
0.858,0.091,0.012,0.267,1.017,39.72140097618103,-64.53822617064951,-0.052
0.753,0.079,0.022,0.197,1.031,39.721709966659546,-64.53822617064951,-0.227
0.753,0.097,-0.024,-0.048,1.008,39.722004413604736,-64.53822617064951,-0.332
0.928,0.075,-0.007,-0.188,0.983,39.72228670120239,-64.53822617064951,-0.192
0.858,0.068,0.006,-0.223,1.029,39.72256326675415,-64.53822617064951,-0.227
0.683,0.084,0.004,0.057,0.983,39.72284245491028,-64.53822617064951,-0.262
0.928,0.079,-0.002,-0.258,1.018,39.72313356399536,-64.53822617064951,-0.087
0.543,0.07,-0.022,-0.118,0.997,39.723414182662964,-64.53822617064951,-0.227
0.928,0.076,-0.022,-0.328,0.994,39.72366452217102,-65.30052235121707,-0.052
0.998,0.082,-0.036,-0.363,1.024,39.7278254032135,-65.30052235121707,-0.192
0.753,0.089,-0.004,-0.153,1.009,40.26194095611572,-65.30052235121707,0.088
0.928,0.065,-0.007,-0.083,1.014,40.264058351516724,-66.07196973900425,-0.332
0.753,0.077,0.003,-0.013,1.053,40.26438808441162,-66.07196973900425,-0.262
0.788,0.074,-0.022,-0.153,0.99,40.264697313308716,-66.07196973900425,-0.262
0.963,0.071,-0.025,-0.048,1.017,40.26503658294678,-66.07196973900425,-0.227
0.753,0.086,-0.003,-0.188,0.993,40.265281438827515,-65.89863015807326,-0.192
0.683,0.067,-0.004,0.022,1.003,40.26550030708313,-65.89863015807326,-0.122
0.858,0.061,-0.002,-0.328,1.043,40.26571559906006,-65.89863015807326,-0.157
0.858,0.075,-0.016,-0.223,1.017,40.26592230796814,-65.89863015807326,0.123
0.788,0.082,-0.055,0.022,0.994,40.26612854003906,-65.89863015807326,0.123
0.753,0.084,-0.024,-0.293,1.014,40.266337871551514,-65.89863015807326,0.123
1.033,0.09,-0.004,-0.293,1.005,40.81501293182373,-65.89863015807326,-0.122
0.718,0.091,-0.003,-0.118,1.031,40.81715250015259,-65.72200680042138,-0.192
0.753,0.07,0.02,-0.083,1.005,40.817564964294434,-65.72200680042138,-0.122
1.068,0.067,0.004,-0.223,1.002,40.81796145439148,-65.72200680042138,-0.052
0.998,0.077,-0.009,-0.048,1.016,40.81822466850281,-65.72200680042138,-0.052
0.788,0.071,-0.02,-0.223,1.011,40.81845307350159,-65.72200680042138,-0.087
0.928,0.078,-0.038,-0.223,0.984,40.81866955757141,-65.72200680042138,0.018
0.718,0.077,-0.019,-0.258,1.023,40.81887698173523,-65.72200680042138,-0.052
0.613,0.079,0.01,-0.258,1.027,40.819090366363525,-65.72200680042138,-0.157
0.823,0.085,0.009,0.057,1.03,40.819297075271606,-66.07576771649572,-0.332
0.858,0.076,-0.018,-0.153,1.015,40.81950378417969,-66.07576771649572,-0.367
0.823,0.074,-0.014,-0.153,0.983,40.81999111175537,-66.07576771649572,-0.227
0.718,0.082,0.001,-0.153,1.014,41.36940050125122,-66.07576771649572,-0.227
1.068,0.1,-0.029,-0.083,0.999,41.370004177093506,-66.03751102542182,-0.122
0.858,0.089,0.023,-0.118,1.001,41.37089681625366,-66.31994368051346,-0.157
0.858,0.082,0.002,-0.153,1.01,41.37141013145447,-66.31994368051346,-0.192
0.718,0.084,0.003,0.022,1.008,41.37191367149353,-66.31994368051346,-0.262
0.858,0.086,-0.005,-0.118,1.015,41.37249803543091,-66.31994368051346,-0.332
0.578,0.083,0.002,-0.258,1.01,41.37280058860779,-66.31994368051346,-0.332
0.858,0.092,0.016,-0.083,1.005,41.37454843521118,-66.31994368051346,-0.297
1.103,0.067,-0.009,-0.153,1.015,41.374788761138916,-66.31994368051346,-0.332
0.543,0.077,-0.041,0.022,1.004,41.37502598762512,-66.31994368051346,-0.227
1.103,0.084,-0.023,-0.013,1.001,41.37525916099548,-66.31994368051346,-0.157
0.963,0.078,0.008,-0.118,1.009,41.37847185134888,-66.31994368051346,-0.262
0.963,0.083,0.009,-0.013,1.014,41.87135601043701,-65.92450174492117,-0.017
0.928,0.085,0.023,-0.223,1.015,41.872000217437744,-66.66724962669636,-0.087
1.103,0.085,-0.002,-0.048,1.002,41.87374424934387,-66.66724962669636,0.053
0.893,0.093,-0.017,-0.153,0.984,41.87401008605957,-66.66724962669636,-0.157
0.753,0.073,-0.012,-0.223,1.009,41.87424826622009,-66.66724962669636,0.053
0.648,0.077,0.01,-0.118,1.02,41.8744752407074,-66.66724962669636,-0.157
0.998,0.077,0.012,-0.223,1.042,41.87470245361328,-66.66724962669636,-0.157
0.963,0.091,-0.004,-0.153,1.002,41.874927282333374,-66.66724962669636,-0.122
0.998,0.094,-0.016,-0.083,0.989,41.87515664100647,-66.66724962669636,-0.227
1.033,0.083,-0.01,-0.258,0.988,41.875383377075195,-66.66724962669636,-0.157
0.613,0.078,0.004,-0.048,1.016,41.875619888305664,-66.66724962669636,-0.402
0.228,0.079,-0.002,0.057,1.024,41.87927436828613,-65.65812310903786,-0.402
0.753,0.088,-0.015,0.162,0.999,42.42785620689392,-65.65812310903786,-0.332
0.578,0.07,-0.034,-0.083,1.014,42.428431272506714,-66.09739257840701,-0.192
0.998,0.077,-0.025,-0.118,1.011,42.43038272857666,-66.09739257840701,-0.087
0.788,0.084,-0.009,-0.048,1.042,42.43073129653931,-66.09739257840701,-0.262
0.823,0.071,-0.007,-0.118,1.01,42.431084394454956,-66.09739257840701,-0.192
0.648,0.077,-0.016,-0.048,1.013,42.43144512176514,-65.75079558959862,-0.437
0.753,0.076,0.008,-0.048,1.02,42.431793212890625,-65.75079558959862,-0.402
